,Technologist,Software Engineer,Machine Operator,Technician,Machinist,Engineer,"<- Job, Resume->",,Technologist,Software Engineer,Machine Operator,Technician,Machinist,Engineer
machine,0.008305735,0.005737564,0.191646399,0.046756159,0.291032393,0.027539635,,machine,0.043608595,0.04861338,0.259755873,0.096694865,0.418377574,0.059588846
network,0.013117062,0.136618891,0.002955359,0.018037869,0.002141209,0.052753937,,network,0.043705903,0.108076008,0.023263192,0.087748341,0.01400432,0.081512923
medical,0.456270869,0.00445187,0.006012713,0.025112707,0.003247923,0.013074374,,medical,0.285249617,0.006918461,0.019318143,0.084256393,0.011343972,0.010463137
project,0.012492848,0.008646673,0.010446481,0.028189224,0.01093969,0.101093372,,project,0.060233503,0.140149634,0.083244701,0.114771298,0.073447891,0.162011701
equipment,0.040891213,0.007752071,0.109461552,0.279115135,0.295746958,0.105874969,,equipment,0.007829249,0.006213786,0.01963481,0.02037505,0.018606277,0.007151702
management,0.03482712,0.02777922,0.022921033,0.029823714,0.00948537,0.083873188,,management,0.24664826,0.144947631,0.178601179,0.208036775,0.165823164,0.163167786
work,0.069633131,0.016255879,0.378306392,0.201083282,0.088281054,0.056095138,,work,0.040337875,0.025144053,0.165937563,0.08883475,0.071226266,0.027114629
test,0.016891534,0.304796609,0.004379317,0.007583886,0.002429421,0.073030965,,test,0.0454166,0.222142017,0.020251389,0.03128832,0.013132047,0.168912962
data,0.004215846,0.003903291,0.003584481,0.00465098,0.001808716,0.005163601,,data,0.191450049,0.262478861,0.198684615,0.230005819,0.178043688,0.285425535
experience,0.343354641,0.484057933,0.270286273,0.359647044,0.294887265,0.481500822,,experience,0.035520348,0.035316171,0.031308535,0.03798839,0.035994801,0.034650779